상권_코드,상권_코드_명,상권_구분_코드_명,상권_유형_더미,자치구_코드,자치구_코드_명,면적_km2,log_sales,log_sales_total,유동인구,직장인구,점포_수,개업률,폐업률,경쟁_집중도,식음료_비율
3110001,이북5도청사,골목상권,0,11110,종로구,0.108529,16.672648087149113,20.45644408881521,138091.75,2680.0,44.0,3.358575,1.70635,1.0903954802259888,0.4463276836158192
3110003,세검정초등학교,골목상권,0,11110,종로구,0.19157,15.570716754909167,20.40295140568357,637494.5,1572.0,125.5,3.990925,2.4049750000000003,1.0755467196819086,0.21868787276341947
3110005,세검정,골목상권,0,11110,종로구,0.244923,15.938793247210008,20.398754879279174,194239.0,722.0,86.5,3.469475,1.7647,1.063400576368876,0.21037463976945245
3110009,자하문터널,골목상권,0,11110,종로구,0.178306,15.880668203889586,20.15383763149375,201083.0,419.0,71.75,4.533475,5.580025,1.0520833333333333,0.5173611111111112
3110010,평창동서측,골목상권,0,11110,종로구,0.369415,16.90180222959041,22.00315119043845,269425.5,5579.0,164.25,2.8937749999999998,2.3007750000000002,1.060790273556231,0.1778115501519757
3110012,성곡미술관,골목상권,0,11110,종로구,0.124348,16.33750457422836,21.141218590014887,485459.25,2957.0,122.0,3.714575,2.287875,1.0633946830265848,0.3885480572597137
3110014,경복고등학교,골목상권,0,11110,종로구,0.063411,16.229490746399918,19.662679369686312,48973.5,721.0,31.0,4.869125,2.4749749999999997,1.024,0.376
3110015,청와대사랑채,골목상권,0,11110,종로구,0.069399,16.993239473871398,20.03776187076525,89267.75,1126.0,21.0,1.190475,4.7619,1.0,0.4823529411764706
3110016,평창동동측,골목상권,0,11110,종로구,0.522818,15.67250325117702,20.272597602807725,36551.0,3335.0,99.5,3.272875,2.527925,1.0275689223057645,0.18796992481203006
3110017,정독도서관,골목상권,0,11110,종로구,0.083855,15.38172401809525,19.17714987299648,409334.75,387.0,44.5,2.2474749999999997,1.1237249999999999,1.0391061452513966,0.1564245810055866
3110018,중앙고등학교,골목상권,0,11110,종로구,0.166872,15.221082832191508,20.323914618868923,485856.25,1726.0,164.5,3.0418,1.983875,1.0288315629742033,0.18816388467374812
