reg,model,fold,r2,rmse,mae
LASSO,"('A',)",1,0.483116,1.04793,0.751249
LASSO,"('A',)",2,0.563433,1.045348,0.780482
LASSO,"('A',)",3,0.6433,0.828754,0.669134
LASSO,"('A',)",4,0.528349,0.980448,0.711708
LASSO,"('A',)",5,0.537033,0.968355,0.72664
LASSO,"('A',)",6,0.443218,0.857751,0.69033
LASSO,"('A',)",7,0.482102,0.974566,0.825018
LASSO,"('A',)",8,0.522706,1.000074,0.793033
LASSO,"('A',)",9,0.670453,0.762103,0.600384
LASSO,"('A',)",10,0.502451,1.008682,0.726135
LASSO,"('ResNet-50', 'thresh')",1,0.563247,0.963283,0.744848
LASSO,"('ResNet-50', 'thresh')",2,0.636527,0.953832,0.722288
LASSO,"('ResNet-50', 'thresh')",3,0.64244,0.829751,0.680507
LASSO,"('ResNet-50', 'thresh')",4,0.606437,0.895615,0.66362
LASSO,"('ResNet-50', 'thresh')",5,0.594082,0.906731,0.701558
LASSO,"('ResNet-50', 'thresh')",6,0.429942,0.867916,0.684916
LASSO,"('ResNet-50', 'thresh')",7,0.570717,0.88728,0.740921
LASSO,"('ResNet-50', 'thresh')",8,0.631502,0.878732,0.679129
LASSO,"('ResNet-50', 'thresh')",9,0.69184,0.736958,0.55514
LASSO,"('ResNet-50', 'thresh')",10,0.59833,0.906298,0.66
LASSO,"('ResNet-50', 'top5')",1,0.572831,0.952655,0.729549
LASSO,"('ResNet-50', 'top5')",2,0.637046,0.953151,0.72231
LASSO,"('ResNet-50', 'top5')",3,0.64244,0.829751,0.680507
LASSO,"('ResNet-50', 'top5')",4,0.618572,0.8817,0.652856
LASSO,"('ResNet-50', 'top5')",5,0.600102,0.899983,0.702699
LASSO,"('ResNet-50', 'top5')",6,0.429942,0.867916,0.684916
LASSO,"('ResNet-50', 'top5')",7,0.558842,0.899469,0.754451
LASSO,"('ResNet-50', 'top5')",8,0.631502,0.878732,0.679129
LASSO,"('ResNet-50', 'top5')",9,0.69184,0.736958,0.55514
LASSO,"('ResNet-50', 'top5')",10,0.60109,0.903179,0.655131
LASSO,"('ResNet-50', 'top10')",1,0.569942,0.95587,0.746056
LASSO,"('ResNet-50', 'top10')",2,0.652626,0.93247,0.702658
LASSO,"('ResNet-50', 'top10')",3,0.632126,0.841634,0.691415
