regressor,model,fold,r2,rmse,mae
LASSO,A,1,0.838264,0.642909,0.469252
LASSO,A,2,0.809327,0.719032,0.517075
LASSO,A,3,0.768942,0.741075,0.557939
LASSO,A,4,0.854063,0.680629,0.455682
LASSO,A,5,0.804098,0.71088,0.524887
LASSO,B,1,0.834305,0.65073,0.481786
LASSO,B,2,0.802545,0.731707,0.523255
LASSO,B,3,0.778281,0.725944,0.551003
LASSO,B,4,0.845792,0.699649,0.470553
LASSO,B,5,0.801614,0.715372,0.529368
LASSO,C,1,0.830418,0.658319,0.491599
LASSO,C,2,0.808103,0.721335,0.532174
LASSO,C,3,0.764137,0.748741,0.55631
LASSO,C,4,0.849728,0.690664,0.482805
LASSO,C,5,0.800471,0.71743,0.539022
Ridge,A,1,0.83874,0.641962,0.469317
Ridge,A,2,0.809135,0.719393,0.519587
Ridge,A,3,0.771861,0.736379,0.553433
Ridge,A,4,0.854148,0.680429,0.458256
Ridge,A,5,0.803874,0.711285,0.525485
Ridge,B,1,0.826217,0.666423,0.490304
Ridge,B,2,0.805843,0.72557,0.520326
Ridge,B,3,0.779427,0.724066,0.550993
Ridge,B,4,0.851078,0.687554,0.459471
Ridge,B,5,0.801489,0.715598,0.538794
Ridge,C,1,0.825929,0.666974,0.504343
Ridge,C,2,0.816047,0.706247,0.532982
Ridge,C,3,0.75969,0.755767,0.566572
Ridge,C,4,0.849859,0.690362,0.48851
Ridge,C,5,0.792834,0.73103,0.563187
XGBoost,A,1,0.806824,0.702623,0.518092
XGBoost,A,2,0.781062,0.770484,0.558395
XGBoost,A,3,0.712844,0.826153,0.611593
XGBoost,A,4,0.841754,0.708751,0.510533
XGBoost,A,5,0.801667,0.715276,0.525636
