상권_코드,before,restored,after,years_used,still_flagged
3110014,7,1,8,2015,True
3110015,6,0,6,없음,True
3110040,1,10,11,2015,False
3110041,6,9,15,2015,False
3110042,8,7,15,2015,False
3110043,1,14,15,2015,False
3110048,7,8,15,2015,False
3110049,9,6,15,2015,False
3110054,2,13,15,2015,False
3110056,2,13,15,2015,False
3110089,7,8,15,2015,False
3110113,9,2,11,2015,False
3110276,6,2,8,2015,True
3110280,6,2,8,2015,True
3110312,7,1,8,2015,True
3110320,8,0,8,없음,True
3110413,6,0,6,없음,True
3110444,7,0,7,없음,True
3110492,7,0,7,없음,True
3110515,8,1,9,2015,True
3110591,5,10,15,2015,False
3110648,1,0,1,없음,True
3110681,7,0,7,없음,True
3110724,7,8,15,2015,False
3110765,9,0,9,없음,True
3110816,9,0,9,없음,True
3110915,2,2,4,2015,True
3110922,8,2,10,2015,False
3110927,3,0,3,없음,True
3110949,6,9,15,2015,False
3110956,6,4,10,2015,False
3110958,9,6,15,2015,False
3110970,6,0,6,없음,True
3110988,9,2,11,2015,False
3111000,8,0,8,없음,True
3120022,5,10,15,2015,False
3120027,9,6,15,2015,False
3120028,8,7,15,2015,False
3120037,8,7,15,2015,False
3120039,7,8,15,2015,False
3120060,3,0,3,없음,True
3120089,6,0,6,없음,True
3120097,7,0,7,없음,True
3120098,3,0,3,없음,True
3120099,0,0,0,없음,True
3120114,8,2,10,2015,False
3120118,1,0,1,없음,True
3120119,5,1,6,2015,True
3120128,2,0,2,없음,True
3120140,4,0,4,없음,True
3120180,0,0,0,없음,True
3120205,6,9,15,2015,False
3120220,5,10,15,2015,False
3120227,8,1,9,2016,True
3120231,1,0,1,없음,True
3120236,8,0,8,없음,True
