reg,model,fold,r2,rmse,mae
LASSO,"('A',)",1,0.387994,1.079497,0.840769
LASSO,"('A',)",2,0.498925,0.993556,0.788913
LASSO,"('A',)",3,0.424505,1.133754,0.809215
LASSO,"('A',)",4,0.560593,0.836293,0.671896
LASSO,"('A',)",5,0.49986,1.009644,0.808843
LASSO,"('A',)",6,0.369913,1.415916,0.967359
LASSO,"('A',)",7,0.633196,0.884877,0.635841
LASSO,"('A',)",8,0.639814,0.99833,0.739874
LASSO,"('A',)",9,0.529166,0.951397,0.710654
LASSO,"('A',)",10,0.476743,1.049229,0.798316
LASSO,"('ResNet-50', 'thresh')",1,0.450538,1.022851,0.792832
LASSO,"('ResNet-50', 'thresh')",2,0.511776,0.980734,0.760351
LASSO,"('ResNet-50', 'thresh')",3,0.432181,1.126168,0.789058
LASSO,"('ResNet-50', 'thresh')",4,0.502505,0.889855,0.728296
LASSO,"('ResNet-50', 'thresh')",5,0.560629,0.946321,0.769556
LASSO,"('ResNet-50', 'thresh')",6,0.434711,1.341135,0.942595
LASSO,"('ResNet-50', 'thresh')",7,0.685473,0.819397,0.614617
LASSO,"('ResNet-50', 'thresh')",8,0.644956,0.991179,0.705262
LASSO,"('ResNet-50', 'thresh')",9,0.566864,0.912516,0.690016
LASSO,"('ResNet-50', 'thresh')",10,0.503981,1.021556,0.816417
LASSO,"('ResNet-50', 'top5')",1,0.44313,1.029723,0.817824
LASSO,"('ResNet-50', 'top5')",2,0.507107,0.985412,0.765636
LASSO,"('ResNet-50', 'top5')",3,0.43312,1.125236,0.785646
LASSO,"('ResNet-50', 'top5')",4,0.530574,0.864388,0.690327
LASSO,"('ResNet-50', 'top5')",5,0.559052,0.948018,0.771342
LASSO,"('ResNet-50', 'top5')",6,0.435857,1.339774,0.936356
LASSO,"('ResNet-50', 'top5')",7,0.667303,0.842733,0.609633
LASSO,"('ResNet-50', 'top5')",8,0.630923,1.010576,0.722551
LASSO,"('ResNet-50', 'top5')",9,0.575664,0.903199,0.677108
LASSO,"('ResNet-50', 'top5')",10,0.507217,1.018218,0.797932
LASSO,"('ResNet-50', 'top10')",1,0.450538,1.022851,0.792832
LASSO,"('ResNet-50', 'top10')",2,0.536595,0.955481,0.751489
LASSO,"('ResNet-50', 'top10')",3,0.460473,1.097753,0.778651
LASSO,"('ResNet-50', 'top10')",4,0.494377,0.897095,0.73432
LASSO,"('ResNet-50', 'top10')",5,0.569783,0.93641,0.747374
LASSO,"('ResNet-50', 'top10')",6,0.46034,1.31038,0.919898
LASSO,"('ResNet-50', 'top10')",7,0.68064,0.825669,0.618263
LASSO,"('ResNet-50', 'top10')",8,0.646424,0.989128,0.71439
LASSO,"('ResNet-50', 'top10')",9,0.566864,0.912516,0.690016
